date,state,p,confirmed,city_ibge_code,confirmed_per_100k_inhabitants
2020-04-26,ES,c,2,3205176,
2020-04-26,ES,c,468,3205200,
2020-04-26,ES,c,382,3205309,
2020-04-26,ES,s,1819,32,45.26396
2020-04-26,GO,c,6,5200258,
2020-04-26,GO,c,1,5200506,
2020-04-26,GO,c,39,5201108,
2020-04-26,GO,c,1,5201207,
2020-04-26,GO,c,22,5201405,
2020-04-26,GO,c,1,5201801,
2020-04-26,GO,c,1,5202809,
2020-04-26,GO,c,1,5203203,
2020-04-26,GO,c,3,5203302,
2020-04-26,GO,c,2,5203500,
2020-04-26,GO,c,1,5204508,
2020-04-26,GO,c,1,5204607,
2020-04-26,GO,c,1,5204706,
2020-04-26,GO,c,3,5205000,
2020-04-26,GO,c,1,5205109,
2020-04-26,GO,c,4,5205406,
2020-04-26,GO,c,5,5205497,
2020-04-26,GO,c,1,5207535,
2020-04-26,GO,c,4,5208004,
2020-04-26,GO,c,2,5208509,
2020-04-26,GO,c,28,5208608,
2020-04-26,GO,c,333,5208707,
2020-04-26,GO,c,1,5208806,
2020-04-26,GO,c,1,5209101,
2020-04-26,GO,c,1,5209200,
2020-04-26,GO,c,0,5209705,
2020-04-26,GO,c,1,,
2020-04-26,GO,c,3,5210000,
2020-04-26,GO,c,2,5210604,
2020-04-26,GO,c,10,5211503,
2020-04-26,GO,c,1,5211800,
2020-04-26,GO,c,6,5211909,
2020-04-26,GO,c,11,5212501,
2020-04-26,GO,c,4,5213103,
2020-04-26,GO,c,1,5213756,
2020-04-26,GO,c,0,5213806,
2020-04-26,GO,c,2,5214507,
2020-04-26,GO,c,1,5214606,
2020-04-26,GO,c,1,5214861,
2020-04-26,GO,c,1,5215009,
2020-04-26,GO,c,1,5215231,
2020-04-26,GO,c,1,5216304,
2020-04-26,GO,c,3,5216403,
2020-04-26,GO,c,0,5217302,
2020-04-26,GO,c,3,5217401,
2020-04-26,GO,c,1,5217609,
2020-04-26,GO,c,6,5218391,
2020-04-26,GO,c,6,5218607,
2020-04-26,GO,c,14,5218805,
2020-04-26,GO,c,1,5219308,
2020-04-26,GO,c,3,5219753,
2020-04-26,GO,c,2,5220108,
2020-04-26,GO,c,6,5220454,
2020-04-26,GO,c,1,5220603,
2020-04-26,GO,c,7,5221403,
2020-04-26,GO,c,0,5221601,
2020-04-26,GO,c,9,5221858,
2020-04-26,GO,c,1,5222005,
2020-04-26,GO,s,573,52,8.16431
2020-04-26,MA,c,12,2100055,
2020-04-26,MA,c,1,2100204,
2020-04-26,MA,c,1,2100402,
2020-04-26,MA,c,1,2100477,
2020-04-26,MA,c,5,2100709,
2020-04-26,MA,c,3,2101004,
2020-04-26,MA,c,21,2101202,
2020-04-26,MA,c,7,2101251,
2020-04-26,MA,c,4,2101400,
2020-04-26,MA,c,2,2101707,
2020-04-26,MA,c,1,2102101,
2020-04-26,MA,c,1,2102325,
2020-04-26,MA,c,4,2102374,
2020-04-26,MA,c,1,2102408,
2020-04-26,MA,c,1,2102705,
2020-04-26,MA,c,15,2103000,
2020-04-26,MA,c,1,2103174,
2020-04-26,MA,c,9,2103208,
2020-04-26,MA,c,3,2103307,
2020-04-26,MA,c,4,2103505,
2020-04-26,MA,c,1,2103703,
2020-04-26,MA,c,2,2103752,
2020-04-26,MA,c,0,2103802,
2020-04-26,MA,c,1,2104057,
2020-04-26,MA,c,1,2104552,
2020-04-26,MA,c,1,2104677,
2020-04-26,MA,c,0,2105104,
2020-04-26,MA,c,92,2105302,
2020-04-26,MA,c,0,2105401,
2020-04-26,MA,c,1,2105658,
2020-04-26,MA,c,2,2105708,
2020-04-26,MA,c,1,2106409,
2020-04-26,MA,c,4,2106508,
2020-04-26,MA,c,2,2106672,
2020-04-26,MA,c,4,2106755,
2020-04-26,MA,c,1,2106805,
2020-04-26,MA,c,1,2106904,
2020-04-26,MA,c,3,2107100,
2020-04-26,MA,c,1,2107407,
2020-04-26,MA,c,74,2107506,
2020-04-26,MA,c,2,2108207,
2020-04-26,MA,c,1,2109106,
2020-04-26,MA,c,4,2109205,
2020-04-26,MA,c,11,2109452,
2020-04-26,MA,c,10,2109601,
2020-04-26,MA,c,3,2109908,
2020-04-26,MA,c,14,2110203,
2020-04-26,MA,c,1,2110401,
2020-04-26,MA,c,1,2110856,
2020-04-26,MA,c,1,2111003,
2020-04-26,MA,c,1,2111102,
2020-04-26,MA,c,137,2111201,
2020-04-26,MA,c,1894,2111300,
2020-04-26,MA,c,16,2112209,
2020-04-26,MA,c,2,2112233,
2020-04-26,MA,c,2,2112308,
2020-04-26,MA,c,3,2112605,
2020-04-26,MA,c,3,2112704,
2020-04-26,MA,c,2,2112803,
2020-04-26,MA,c,6,2112902,
2020-04-26,MA,c,1,2113009,
2020-04-26,MA,c,6,2114007,
2020-04-26,MA,s,2410,21,34.06273
2020-04-26,MG,c,1,3100203,
2020-04-26,MG,c,1,3101508,
2020-04-26,MG,c,3,3101607,
2020-04-26,MG,c,5,3101706,
2020-04-26,MG,c,1,3101805,
2020-04-26,MG,c,7,3103504,
2020-04-26,MG,c,3,3104007,
2020-04-26,MG,c,1,3104106,
2020-04-26,MG,c,7,3104205,
2020-04-26,MG,c,5,3105608,
2020-04-26,MG,c,1,3106101,
2020-04-26,MG,c,544,3106200,
2020-04-26,MG,c,1,3106309,
2020-04-26,MG,c,1,3106408,
2020-04-26,MG,c,13,3106705,
2020-04-26,MG,c,1,3106903,
2020-04-26,MG,c,9,3107109,
2020-04-26,MG,c,1,3107406,
2020-04-26,MG,c,1,3108107,
2020-04-26,MG,c,2,3108305,
2020-04-26,MG,c,1,3108404,
2020-04-26,MG,c,2,3108602,
2020-04-26,MG,c,1,3109907,
2020-04-26,MG,c,2,3110004,
2020-04-26,MG,c,2,3110509,
2020-04-26,MG,c,8,3110608,
2020-04-26,MG,c,2,3110707,
